userId,group,converted
8932e4bee0a342e88452094ba28ca6c1,treatment,False
dce7390c9a394bab8f7de601f1ca3bdd,control,True
5a18d7fa835344c689d7206515a2014c,control,False
93f79ae942b54bf2a98e3193cdc69b60,treatment,False
6270bb758aec402e8a803cbd4af14c03,treatment,True
fdf3547b41a2466ea985d9015ac3dc57,treatment,False
793ebf0000f140668f1ae6f78d4c8265,control,False
dfabb8c5b78b4e37b91648303070323f,control,True
e5bd88db2c9b4c209adffe22f02aaf35,treatment,False
65821151f4fa47f7823b5e718d968f94,control,False
8fdad40bcd2740249e4ff3c144a50a87,treatment,False
c785c7f70f434c9ab0ebe950d28eff6a,control,False
34b6463fec9744a8b1983192faca6df0,control,True
1e704f52a08b425391bbf9edeb29dc76,treatment,False
1a83ea6883fc47e2a7452875926a1ceb,control,True
a7cf5438de8f46a6a1cdfabae67941c3,control,True
f0db5f830d994cd29b5c452560283ab0,treatment,False
8e3787e1356e447e962df74891ca3ba6,control,False
0becbb5a15294468aa6970ef44ee123c,treatment,False
dcfecbd11ac94d61a0259ab18b03d058,control,False
8c3d2c83dc6e4431911628469554df27,treatment,True
c2904f2162de403893158da8239ad815,control,True
80d9c1905d824e1d8cdf4466d8678c25,treatment,True
6327efb1a57d485e98eaf880e52ef8e3,treatment,False
703b75ee79324fd4b58ba2b603e8011b,control,False
d664cfd09a304dbc9a66c478f1872462,treatment,False
4ffbd40c4a7f42e39c383aeb2ba21b90,control,False
28bbe5ef8e0c4f60ac30998b9f24e4c7,treatment,False
5c49e867895d410eaf123c27dd43c14a,control,True
cc62bc3558c64d43bd59b7bbb3b24297,control,False
fa3789a65d3a4e278d3bdd212fde980d,control,True
14cb0efdaa3443fbb5e3d534d7ff0636,treatment,True
3cf5a811f0024b4bb4283f4354b30f93,control,False
6c0fdb44347c4e51b8f31c60a4dbc510,treatment,False
7c8d9aa8fa214af498a44f41679d978c,control,True
981273a36cf54fba8e574e4e6edfefbc,treatment,True
1c348526d78045c1b8f019c8bfcb30cc,control,True
72f47529840e4e42bb35e7bb4261c2fa,control,False
042641b8772a4525924999efb0700be1,control,False
9dc6dbfb66934d0ca86ac1bf8e993071,treatment,True
380f1b9fe62e48a2a12eea175b07bef8,control,True
4a1fb71aff01417094cc6ca3e006878a,treatment,True
cdf0369fb82b4e39bce70bf2719c3eea,control,False
60b1ef318fb5478ba1a7599f51527834,treatment,False
45381c424da24736a2ee34f159f0e394,treatment,False
e10c55f304b447579fd4d42627212d00,control,False
fb26d21be27141b4a727080d6574cf83,control,False
6e15080e5bdc462c83d23a4e59101cd5,treatment,False
b2ec6d4cf2bd4bda9373f0cc65a27668,control,False
c399ce7ca8f041fcb852323f8dad3af4,treatment,True
